"types_incl","R","p.value"
"forest-path-road-edge",0.0815813834925411,0.001
"forest-edge",0.169466208722406,0.001
"path-edge",0.166648778219027,0.002
"road-edge",0.0775106436263463,0.017
"forest-path-road",0.0267114275378743,0.099
"forest-path",0.0376194053880006,0.1
"path-road",0.0244311473650318,0.201
"forest-road",0.0197890952023179,0.235
