"plot","Mass","Wing.Length","Hand.Wing.Index","loc","type","round"
"89_edge_2",29.7286363636364,83.0863636363636,25.0727272727273,"89","edge","2"
"98_edge_1",32.2745454545455,82.9363636363636,24.3181818181818,"98","edge","1"
"98_edge_2",39.302,87.7066666666667,25.3266666666667,"98","edge","2"
"114_edge_1",30.2530769230769,82.9846153846154,24.6230769230769,"114","edge","1"
"114_edge_2",71.638,93.92,24.18,"114","edge","2"
"122_edge_1",123.458181818182,118.863636363636,27.4,"122","edge","1"
"122_edge_2",38.2275,87.9583333333333,24.2083333333333,"122","edge","2"
"171_edge_1",112.238181818182,123.518181818182,24.1545454545455,"171","edge","1"
"171_edge_2",67.2926666666667,99.2466666666667,26.7,"171","edge","2"
"188_edge_1",24.8373333333333,76.3,23.4933333333333,"188","edge","1"
"188_edge_2",64.91875,98.79375,24.325,"188","edge","2"
