"types_incl","R","p.value"
"forest-path-road-edge",0.0707678168938501,0.003
"forest-edge",0.144444742585239,0.001
"path-edge",0.141564702515116,0.002
"road-edge",0.0700690494078922,0.019
"forest-path-road",0.0245608386104246,0.102
"forest-path",0.0510759901255766,0.056
"path-road",0.00281295839147105,0.39
"forest-road",0.0181433580193912,0.201
